Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1-Jan,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,3/1/1911,Berlin,Germany
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1-Jan,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,,,,9/7/1907,Châtenay,France
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1-Jan,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,3/31/1917,Marburg,Germany
1901,Peace,The Nobel Peace Prize 1901,,2-Jan,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,,,,10/30/1910,Heiden,Switzerland
1901,Peace,The Nobel Peace Prize 1901,,2-Jan,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,,,,6/12/1912,Paris,France
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1-Jan,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,2/10/1923,Munich,Germany
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1-Jan,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,7/15/1919,Berlin,Germany
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1-Jan,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,,,,11/1/1903,Charlottenburg,Germany
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1-Jan,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,9/16/1932,Putney Heath,United Kingdom
1902,Peace,The Nobel Peace Prize 1902,,2-Jan,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,,,,12/7/1906,Bern,Switzerland
1902,Peace,The Nobel Peace Prize 1902,,2-Jan,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,,,,3/16/1914,Bern,Switzerland
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2-Jan,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,2/4/1928,,Netherlands
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2-Jan,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,10/9/1943,Amsterdam,Netherlands
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1-Jan,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,10/2/1927,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1-Jan,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,,,,4/26/1910,Paris,France
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1-Jan,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,9/24/1904,Copenhagen,Denmark
1903,Peace,The Nobel Peace Prize 1903,,1-Jan,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,,,,7/22/1908,London,United Kingdom
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",2-Jan,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,8/25/1908,,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",4-Jan,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,4/19/1906,Paris,France
