,counts
United States of America,276
United Kingdom,102
Germany,89
France,56
Poland,30
Sweden,30
Russia,30
Japan,29
Italy,20
Austria,19
Netherlands,19
Canada,18
Switzerland,17
China,13
Norway,13
Denmark,12
Australia,11
South Africa,9
Belgium,9
Hungary,9
India,8
Spain,7
Czechia,6
Egypt,6
Israel,6
Ukraine,5
Finland,5
Ireland,5
Romania,5
Pakistan,4
Belarus,4
Argentina,4
Portugal,3
Lithuania,3
New Zealand,3
Algeria,3
Turkey,3
Mexico,3
Colombia,2
Luxembourg,2
Liberia,2
Iran,2
Morocco,2
East Timor,2
Saint Lucia,2
Chile,2
Bosnia and Herzegovina,2
South Korea,2
Guatemala,2
Greece,1
Slovenia,1
Slovakia,1
Myanmar,1
Kenya,1
Guadeloupe Island,1
Azerbaijan,1
Cyprus,1
Indonesia,1
Costa Rica,1
Trinidad,1
Latvia,1
Iceland,1
Taiwan,1
Zimbabwe,1
Brazil,1
Ghana,1
Vietnam,1
Republic of Macedonia,1
Nigeria,1
Bulgaria,1
Yemen,1
Venezuela,1
Bangladesh,1
Croatia,1
Madagascar,1
Peru,1
